equity_style_score,equity_size_score,environmental_score,social_score,governance_score,sustainability_score,fund_name,fund_return_2020_q3
161.43,328.15,3.37,10.65,8.42,22.44,iShares SMI® ETF (CH),False
154.89,248.09,3.79,8.61,8.12,20.52,XACT OMXS30 UCITS ETF,True
165.71,308.52,4.45,7.41,6.97,18.91,iShares STOXX Europe 600 Personal & Household Goods UCITS ETF (DE),True
148.25,275.97,4.65,8.27,7.8,20.73,UBS ETF - MSCI EMU UCITS ETF (EUR) A-dis,True
146.53,286.08,5.01,9.8,9.11,23.96,UBS ETF - MSCI Japan UCITS ETF (JPY) A-dis,True
191.48,381.38,2.83,11.35,8.66,22.84,Lyxor DJ Global Titans 50 UCITS ETF Dist,True
121.69,314.59,3.42,12.13,7.68,23.23,Lyxor Dow Jones Industrial Average UCITS ETF Dist,True
119.27,266.54,6.06,10.47,7.52,24.06,iShares Core FTSE 100 UCITS ETF GBP (Dist),False
162.88,288.11,3.49,9.84,8.17,21.49,iShares SLI UCITS ETF (DE),True
189.51,312.82,1.58,13.4,9.54,24.57,iShares STOXX Europe 600 Health Care UCITS ETF (DE),False
244.04,284.72,2.69,6.63,6.31,15.86,iShares STOXX Europe 600 Technology UCITS ETF (DE),True
50.22,250.27,1.61,12.73,11.18,25.68,iShares STOXX Europe 600 Banks UCITS ETF (DE),False
18.73,240.33,1.6,13.02,12.04,26.67,iShares EURO STOXX Banks 30-15 UCITS ETF (DE),False
189.59,380.84,2.83,11.35,8.67,22.86,iShares Dow Jones Global Titans 50 UCITS ETF (DE),True
218.08,215.9,3.42,10.49,7.95,22.6,iShares TecDAX® UCITS ETF (DE),True
206.71,198.02,5.12,9.62,7.72,23.59,iShares MDAX® UCITS ETF (DE),True
136.91,296.65,5.16,7.18,8.23,20.57,iShares Core DAX® UCITS ETF (DE),True
136.38,252.8,2.51,8.04,7.0,17.83,iShares STOXX Europe 600 Telecommunications UCITS ETF (DE),False
154.43,333.64,4.77,9.68,7.81,22.26,iShares STOXX Europe 50 UCITS ETF (DE),False
144.75,217.48,5.71,7.28,6.98,19.97,Seligson & Co OMX Helsinki 25 -indeksiosuusrahasto ETF,True
156.35,312.2,4.58,7.8,7.56,19.95,UBS ETF - EURO STOXX 50 UCITS ETF (EUR) A-dis,False
162.76,293.68,3.78,10.95,7.94,22.78,UBS ETF - MSCI USA UCITS ETF (USD) A-dis,True
118.21,266.9,6.07,10.47,7.52,24.06,UBS ETF - FTSE 100 UCITS ETF (GBP) A-dis,False
106.5,260.25,12.4,8.61,7.79,28.79,BNP Paribas Easy Stoxx Europe 600 Oil&Gas UCITS ETF,False
160.18,312.85,4.58,7.8,7.56,19.95,Lyxor Euro Stoxx 50 (DR) UCITS ETF Dist,False
149.02,299.2,4.3,8.42,7.61,20.34,Lyxor CAC 40 (DR) UCITS ETF Dist,False
157.38,312.43,4.58,7.8,7.56,19.95,iShares EURO STOXX 50 UCITS ETF (DE),False
154.4,333.63,4.77,9.68,7.81,22.26,iShares STOXX Europe 50 UCITS ETF EUR (Dist),False
157.38,312.43,4.58,7.8,7.56,19.96,iShares EURO STOXX 50 UCITS ETF EUR (Dist),False
115.62,237.39,5.27,8.69,7.84,22.56,Lyxor FTSE MIB UCITS ETF Dist,False
160.53,129.25,4.48,9.38,7.19,22.79,iShares FTSE 250 UCITS ETF GBP (Dist),True
146.99,286.46,5.01,9.8,9.11,23.95,iShares MSCI Japan UCITS ETF USD (Dist),True
82.69,249.32,12.36,9.37,6.5,28.23,iShares STOXX Europe 600 Basic Resources UCITS ETF (DE),True
141.48,195.84,4.85,8.86,7.66,21.67,iShares EURO STOXX Mid UCITS ETF EUR (Dist),True
147.39,152.74,4.98,8.18,7.42,21.39,iShares EURO STOXX Small UCITS ETF EUR (Dist),True
222.77,351.54,2.65,10.89,8.16,21.88,Invesco EQQQ NASDAQ-100 UCITS ETF,True
76.55,264.41,7.36,7.79,10.23,25.38,iShares STOXX Europe 600 Automobiles & Parts UCITS ETF (DE),True
40.05,245.23,1.13,7.95,10.07,19.15,iShares STOXX Europe 600 Insurance UCITS ETF (DE),False
194.7,278.77,8.83,4.29,5.63,18.77,iShares STOXX Europe 600 Chemicals UCITS ETF (DE),True
149.26,230.05,8.83,7.07,7.58,23.51,iShares STOXX Europe 600 Construction & Materials UCITS ETF (DE),True
144.46,223.67,0.07,4.37,6.0,10.43,iShares STOXX Europe 600 Media UCITS ETF (DE),False
189.92,256.69,1.38,5.86,5.41,12.66,iShares STOXX Europe 600 Retail UCITS ETF (DE),True
134.24,265.2,9.42,8.25,6.05,23.72,iShares STOXX Europe 600 Utilities UCITS ETF (DE),True
183.06,203.77,5.19,10.88,7.47,23.53,iShares STOXX Europe 600 Travel & Leisure UCITS ETF (DE),True
74.53,278.15,12.44,8.63,7.8,28.86,iShares STOXX Europe 600 Oil & Gas UCITS ETF (DE),False
155.08,232.34,1.2,8.68,10.03,19.89,iShares STOXX Europe 600 Financial Services UCITS ETF (DE),True
162.04,301.42,7.19,10.22,5.84,23.25,iShares STOXX Europe 600 Food & Beverage UCITS ETF (DE),True
195.27,241.43,4.81,9.51,7.22,21.9,iShares STOXX Europe 600 Industrial Goods & Services UCITS ETF (DE),True
190.23,197.32,4.59,9.84,7.37,22.57,iShares SMIM® ETF (CH),True
167.26,230.76,3.46,8.25,8.19,20.42,XACT Sverige (UCITS ETF),True
138.44,131.06,2.83,3.93,5.26,14.75,BNP Paribas Easy FTSE EPRA/NAREIT Eurozone Capped UCITS ETF QD Dis,False
162.01,327.87,3.37,10.65,8.42,22.44,UBS ETF (CH) – SMI® (CHF) A-dis,True
154.89,248.08,3.81,8.85,8.25,20.91,XACT Bull ETF,True
137.07,176.43,8.33,9.22,7.32,24.86,DNB OBX ETF,True
125.85,281.72,4.3,8.42,7.61,20.34,BNP Paribas Easy CAC 40® UCITS ETF,False
154.64,272.4,4.7,9.18,7.67,21.67,iShares STOXX Europe 600 UCITS ETF (DE),True
172.37,148.15,4.81,8.44,7.26,21.85,iShares STOXX Europe Small 200 UCITS ETF (DE),True
150.67,190.69,5.0,8.94,7.4,21.58,iShares STOXX Europe Mid 200 UCITS ETF (DE),True
154.08,298.5,4.63,9.29,7.76,21.67,iShares STOXX Europe Large 200 UCITS ETF (DE),False
96.18,290.04,5.96,8.23,8.57,22.75,iShares DivDAX® UCITS ETF (DE),True
53.78,224.55,4.95,8.04,8.44,21.43,iShares STOXX Europe Select Dividend 30 UCITS ETF (DE),False
154.73,272.61,4.67,8.1,7.63,20.49,iShares EURO STOXX UCITS ETF (DE),True
68.71,227.66,4.93,7.01,8.05,19.99,iShares EURO STOXX Select Dividend 30 UCITS ETF (DE),False
145.01,256.13,4.6,8.91,8.15,25.06,Lyxor Japan (Topix) (DR) UCITS ETF Dist EUR,True
146.99,286.46,5.01,9.8,9.11,23.95,iShares MSCI Japan UCITS ETF USD (Dist),True
97.02,149.08,6.06,7.84,9.19,23.85,iShares ATX UCITS ETF (DE),False
68.74,227.66,4.93,7.01,8.05,19.99,iShares Euro Dividend UCITS ETF EUR (Dist),True
116.82,402.59,4.87,12.7,11.22,29.09,iShares China Large Cap UCITS ETF USD (Dist),True
116.82,402.59,4.87,12.7,11.22,29.09,iShares China Large Cap UCITS ETF USD (Dist),True
139.42,364.37,5.13,10.3,9.43,25.63,iShares MSCI AC Far East ex-Japan UCITS ETF USD (Dist),True
139.42,364.37,5.13,10.3,9.43,25.63,iShares MSCI AC Far East ex-Japan UCITS ETF USD (Dist),True
139.42,364.37,5.13,10.3,9.43,25.63,iShares MSCI AC Far East ex-Japan UCITS ETF USD (Dist),True
131.06,328.48,5.61,6.57,7.9,20.45,iShares MSCI Taiwan UCITS ETF USD (Dist),True
158.16,291.16,4.2,10.51,7.98,22.77,iShares MSCI World UCITS ETF USD (Dist),True
216.43,305.62,3.98,7.18,6.67,17.83,iShares Euro Total Market Growth Large UCITS ETF EUR (Dist),True
98.99,340.65,6.23,10.31,11.35,28.27,iShares MSCI Korea UCITS ETF USD (Dist),True
54.73,273.92,5.67,10.14,9.53,25.34,iShares Euro Total Market Value Large UCITS ETF EUR (Dist),False
194.41,293.57,5.2,8.04,6.73,19.98,iShares AEX UCITS ETF EUR (Dist),False
62.78,183.16,5.73,10.06,7.64,23.42,iShares UK Dividend UCITS ETF GBP (Dist),False
134.43,324.43,8.6,11.78,9.58,30.76,iShares MSCI Brazil UCITS ETF USD (Dist),False
144.73,343.5,6.03,10.65,9.57,27.11,iShares MSCI EM UCITS ETF USD (Dist),True
59.42,221.66,10.98,9.3,9.09,32.1,iShares MSCI Eastern Europe Capped UCITS ETF USD (Dist),False
137.33,170.13,2.71,4.25,5.65,14.13,iShares European Property Yield UCITS ETF EUR (Dist),True
120.7,220.5,3.51,11.15,9.28,24.08,Lyxor BEL 20 TR (DR) UCITS ETF Dist,False
62.78,183.16,5.73,10.06,7.64,23.42,iShares UK Dividend UCITS ETF GBP (Dist),False
166.12,295.42,3.79,10.95,7.94,22.79,Lyxor MSCI USA UCITS ETF Dist,True
